name,overall_rating,potential,national_team,national_rating
J. Calleri,77,82,,
A. Jahanbakhsh,77,80,,
A. Prijović,77,77,,
Fabricio,77,77,,
M. Elneny,77,79,Egypt,73
Jorge Meré,77,85,,
Wilson Eduardo,77,77,,
Álex Remiro,77,82,,
T. Gutiérrez,77,77,,
A. Pyatov,77,77,,
Diego Llorente,77,83,,
I. Abate,77,77,,
T. Vermaelen,77,77,Belgium,85
N. Füllkrug,77,78,,
Pedro Obiang,77,79,,
Wallace,77,81,,
Djaniny,77,78,,
Roberto,77,77,,
S. Tasci,77,77,,
L. Schøne,77,77,Denmark,78
J. Defoe,77,77,,
V. Babacan,77,78,,
O. Ighalo,77,77,,
A. Schürrle,77,77,,
E. Skhiri,77,81,,
W. Anton,77,84,,
R. Palacio,77,77,,
K. Lasagna,77,80,Italy,83
D. Cvitanich,77,77,,
S. De Maio,77,77,,
S. Terodde,77,77,,
J. De Guzmán,77,77,,
R. Civelli,77,77,,
Pablo Maffeo,77,84,,
Cédric,77,78,Portugal,82
K. Papadopoulos,77,79,,
A. Szymanowski,77,77,,
J. Kucka,77,77,,
P. Jagielka,77,77,,
M. Benassi,77,82,,
P. Jansson,77,79,Sweden,76
B. Espinosa,77,77,,
José Sá,77,82,,
M. Sels,77,80,,
Yuri Berchiche,77,77,,
R. Borré,77,83,,
Paulinho,77,79,,
C. Piccini,77,79,,
B. André,77,77,,
Barragán,77,77,,
M. Samatta,77,80,,
I. Diop,77,86,,
M. Lowton,77,77,,
T. Hernández,77,85,,
Juanpe,77,78,,
K. Tete,77,82,Netherlands,81
B. Džemaili,77,77,,
André André,77,77,,
Balenziaga,76,76,,
V. Behrami,76,76,,
D. Reyes,76,79,Mexico,77
Caiuby,76,76,,
S. Doumbia,76,76,,
João Félix,76,89,,
L. López,76,76,,
Mario Suárez,76,76,,
J. Lössl,76,77,Denmark,78
G. Castro,76,76,,
M. Phillips,76,76,Scotland,75
Gabriel Boschilia,76,82,,
Wu Lei,76,77,,
N. Blandi,76,76,,
L. Kalinić,76,78,,
F. Fernández,76,76,,
J. Martínez,76,76,,
Emerson,76,82,,
Rômulo,76,76,,
C. Benteke,76,76,,
M. Rashica,76,83,,
L. Baines,76,76,,
M. Noble,76,76,,
F. Benković,76,85,,
C. Riveros,76,76,,
M. Niang,76,81,,
D. Santon,76,76,,
I. Ordets,76,81,,
Francisco Geraldes,76,82,,
R. Snodgrass,76,76,,
Vitor Hugo,76,78,,
M. Pašalić,76,83,,
F. Borini,76,76,,
N. Vukčević,76,79,,
A. Hutchinson,76,76,Canada,70
M. Moralez,76,76,,
C. Austin,76,76,,
Kenedy,76,84,,
Eltildo Correia,76,76,,
João Pedro,76,77,,
A. Diamanti,76,76,,
Guilherme,76,78,,
J. Morel,76,76,,
Llorente,76,76,,
G. Gönül,76,76,,
A. Paloschi,76,76,,
Juli Freitinho,76,76,,
Markel Bergara,76,76,,
L. Nguyen,76,76,,
A. Knockaert,76,76,,
Córdoba,76,83,,
J. Veltman,76,77,,
N. Sansone,76,77,,
A. Turan,76,76,,
H. Seferović,76,77,SL Benfica,79
Rafael Cachoira,76,76,,
A. Haidara,76,84,,
F. Caputo,76,76,,
M. Locatelli,76,84,,
J. Ayew,76,76,,
T. Jedvaj,76,83,,
S. Hanni,76,76,,
Andrés Fernández,76,76,,
T. Monconduit,76,77,,
N. Mukiele,76,85,,
D. Heintz,76,78,,
Júnior Caiçara,76,76,,
A. Lennon,76,76,,
J. Willems,76,79,,
M. Veljković,76,83,,
I. Belfodil,76,77,,
Miguel Lopes,76,76,,
D. Stephens,76,76,,
Brais Méndez,76,85,,
A. Smith,76,77,,
Recio,76,77,,
Kiko Femenía,76,76,,
M. Gaćinović,76,82,,
P. Skjelbred,76,76,,
Fernandinho,76,79,,
S. Brown,76,76,,
M. Grujić,76,86,,
A. Soumaoro,76,80,,
Raúl Navas,76,76,,
A. Szalai,76,76,Hungary,73
A. Diawara,76,84,,
L. Skorupski,76,79,Poland,77
R. Hamouma,76,76,,
K. Stöger,76,79,,
K. Linetty,76,83,,
S. Bell,76,77,,
A. N'Diaye,76,77,,
Y. Yazıcı,76,83,Turkey,76
B. Oczipka,76,76,,
F. Valverde,76,88,Uruguay,81
M. Benítez,76,80,,
M. Vorm,76,76,,
N. Mendy,76,78,,
J. Vázquez,76,76,,
Unai Núñez,75,83,,
N. Radoja,75,78,,
K. Gibbs,75,75,,
A. Hamdallah,75,75,,
Pablo Santos,75,78,,
S. Fofana,75,82,,
Felipe,75,75,,
C. Villanueva,76,76,,
Mossoró,76,76,,
Diego Rico,76,78,,
Alberto Moreno,76,78,,
J. Clasie,76,77,,
R. Funes Mori,76,77,,
O. Alonso,76,76,,
A. Djiku,76,82,,
J. Hogg,76,76,,
D. Calvert-Lewin,75,82,,
M. Zeegelaar,75,75,,
G. Carrillo,75,76,,
Jozabed,75,76,,
A. Franco,75,85,,
D. Brooks,75,86,Wales,75
J. Bruma,75,78,,
L. Sepe,75,78,,
S. Vokes,75,75,Wales,75
Javi López,75,75,,
J. Amavi,75,80,,
Idris,75,75,,
A. Potuk,75,76,,
O. Norwood,75,75,Northern Ireland,71
R. Khedira,75,78,,
D. Machís,75,76,Venezuela,73
R. Quaison,75,78,Sweden,76
P. Dummett,75,76,Wales,75
L. Dimata,75,83,,
Allan Bardinho,75,75,,
L. Butelle,75,75,,
S. Cristóforo,75,79,,
Jason,75,81,,
M. Agu,75,78,,
E. Badu,75,75,,
N. Redmond,75,79,,
Sandro,75,75,,
A. Mounier,75,75,,
Matheus Pereira,75,81,,
C. Jallet,75,75,,
Diego Castro,75,75,,
S. Okazaki,75,75,,
O. Kamara,75,75,,
Xeka,75,81,,
R. Karsdorp,75,80,,
Marafona,75,75,,
D. Valdés,75,79,Santos Laguna,72
M. Gonalons,75,75,,
Burgui,75,78,,
F. Guarín,75,75,,
M. Jensen,75,81,,
R. Thomas,75,80,New Zealand,66
B. Butko,75,75,,
L. Cigarini,75,75,,
A. Musa,75,76,,
M. Morozyuk,75,75,,
G. Schennikov,75,76,,
André Ramalho,75,77,,
T. Foket,75,80,,
P. Foden,75,90,,
Walace,75,81,,
I. Kahveci,75,80,Turkey,76
J. Briand,75,75,,
D. Rolán,75,78,,
C. Théréau,75,75,,
B. Valdez,75,77,,
M. Konaté,75,79,,
H. Ayala,75,75,,
J. Kluivert,75,86,,
P. Tau,75,81,,
Eraso,75,75,,
A. Boruc,75,75,,
S. Larsson,75,77,,
Paulinho,75,81,,
J. Urretaviscaya,75,75,,
Y. Aït Bennasser,75,83,,
P. Bernardoni,75,84,,
J. Brenet,75,77,,
Aleñá,75,87,,
Thiago Maia,75,82,,
R. Skov,75,83,,
M. Isla,75,75,Chile,77
W. McKennie,75,85,United States,74
J. Tavernier,75,76,,
S. Kalu,75,86,,
Marlon,75,82,,
A. Duncan,75,80,,
S. Sturaro,75,78,,
H. Arter,75,75,Republic of Ireland,74
V. Buyalskyi,75,78,,
M. Sarr,75,84,,
I. Fernández,75,75,,
H. Hateboer,75,77,,
F. Niederlechner,75,75,,
P. Schwegler,75,75,,
B. Pearson,75,81,,
T. Abraham,75,85,,
Jefferson,75,75,,
J. Mæhle,75,84,,
Unai López,75,82,,
I. Amadou,75,80,,
C. Günter,75,76,,
O. Onazi,75,78,,
J. Montero,75,75,Ecuador,72
O. Murillo,75,75,Pachuca,72
Borja Bastón,75,78,,
L. Zelarayán,75,77,,
M. Kelly,75,76,,
A. Umar,75,80,,
Zaldúa,75,78,,
M. Diagne,75,76,,
Jovane Cabral,75,85,,
S. Dann,75,75,,
M. Pavlović,75,75,,
A. Surman,75,75,,
F. Kainz,75,76,Austria,77
Fran Beltrán,75,83,,
K. Vermeer,75,75,,
Fontàs,75,76,,
L. Quiñones,75,75,,
M. Leckie,75,75,Australia,73
Tchê Tchê,75,78,,
S. March,74,78,,
B. Dabo,74,75,,
F. Midtsjø,74,77,Norway,75
Arribas,74,74,,
Duirval Diniz,74,74,,
O. Watkins,74,81,,
R. Tapia,74,79,Peru,73
E. Roco,74,77,Chile,77
J. Svensson,74,77,Norway,75
L. Orbán,74,74,,
G. Donsah,75,81,,
L. Krejčí,75,75,,
S. Sinclair,75,75,,
B. Jokič,75,75,,
M. Thuram,75,83,,
S. Romero,75,75,,
C. Atsu,74,74,,
C. Träsch,74,74,,
F. Pogba,74,74,,
Reguilón,74,85,,
Caio Milaçar,74,74,,
M. Kempf,74,80,,
Daniel Ayala,74,76,,
P. Roberts,74,82,,
G. Ortíz,74,79,,
R. Gikiewicz,74,74,,
R. Rey,74,77,,
Y. Öztekin,74,74,,
Daniel Candeias,74,74,,
C. Beauvue,74,74,,
Marcelo,74,74,,
S. von Bergen,74,74,,
J. Obi,74,75,,
Rafael Leão,74,86,,
Pedro Henrique,74,74,,
Raúl Fernández,74,74,,
Y. Nagatomo,74,74,,
P. Hrošovský,74,77,,
R. Berić,74,75,Slovenia,75
N. Spolli,74,74,,
L. Moore,74,77,,
D. Falcinelli,74,75,,
J. Babin,74,74,,
J. Kopic,74,74,Czech Republic,75
M. Besler,74,74,,
P. Martinez,74,74,,
Renan Bressan,74,74,,
O. Şahan,74,74,,
M. Rensing,74,74,,
K. Phillips,74,80,,
W. Janssen,74,74,,
E. Mena,74,74,Racing Club,75
A. Ciciretti,74,75,,
Davidson,74,74,,
Diogo Leite,74,85,,
A. Raggi,74,74,,
S. Grandsir,74,85,,
D. Kreilach,74,74,,
A. Ruiz,74,77,,
Iñigo Pérez,74,74,,
L. Sané,74,74,,
Ivo,74,74,,
Gil Dias,74,79,,
A. Mena,74,74,,
J. Córdoba,74,78,,
B. Ecuélé Manga,74,74,,
N. Murru,74,79,,
G. Shinnie,74,75,Scotland,75
J. Stryger Larsen,74,74,Denmark,78
A. Erokhin,74,74,,
L. Robles,74,74,,
A. Ulmer,74,74,FC Red Bull Salzburg,73
F. Castillo,74,75,,
I. Nestorovski,74,74,,
M. Mount,74,86,,
O. Kayode,74,78,,
Jadson Vidigal,74,74,,
P. Verhaegh,74,74,,
L. Cavallini,74,77,Puebla FC,70
J. Geis,74,77,,
R. van Wolfswinkel,74,74,,
K. Adams Nuhu,74,81,,
Kévin Rodrigues,74,79,,
Ramalho,74,78,,
A. Semenov,74,75,,
G. Charbonnier,74,74,,
Luisinho,74,74,,
E. Pieters,74,74,,
H. Wolf,74,85,,
J. Aidoo,74,81,,
Nicolás Formido,74,74,,
D. Kourmpelis,74,79,Greece,75
J. Vuković,74,74,,
J. Beausejour,74,74,Universidad de Chile,70
M. Ostrzolek,74,74,,
J. Błaszczykowski,74,74,Poland,77
D. Bouanga,74,79,,
R. Botta,74,74,,
D. Lazović,74,74,,
L. Marković,74,76,,
Fábio Espinho,74,74,,
Ruben Lima,74,74,,
T. Usami,74,75,,
E. Room,74,75,,
K. Konaté,74,74,,
Rubén Alcaraz,74,75,,
A. Nyom,74,74,,
Yuri Ribeiro,74,80,,
M. Ekici,74,74,,
I. Sosa,74,74,,
L. Melgarejo,74,74,,
William,74,75,,
M. Vydra,74,76,,
Bebé,74,74,,
Adrián González,74,74,,
C. Söyüncü,74,82,Turkey,76
K. Iheanacho,74,82,,
M. Tisserand,74,79,,
A. Lozano,74,79,,
L. Waldschmidt,74,79,,
Adrianiscito,74,74,,
S. Grytebust,74,75,Norway,75
I. Strinić,74,74,,
Pedro Rebocho,74,81,,
J. Mbakogu,74,76,,
Dória,74,78,,
M. Çağıran,74,78,,
K. Kamara,74,74,,
S. Bahoken,74,77,,
B. Gibson,74,79,,
Nacho,74,74,,
A. Cornelius,74,78,Denmark,78
M. Le Marchand,74,74,,
P. Diop,74,85,,
S. Özbayraklı,74,74,Turkey,76
S. Davis,74,74,Northern Ireland,71
A. Baba,74,78,,
E. Zukanović,74,74,,
O. Niasse,74,74,,
P. Mpoku,74,74,,
K. McDonald,74,74,,
Jesus Andradaldo,74,74,,
S. Dzhanaev,74,74,,
M. Degenek,74,81,Al Hilal,74
A. Tameze,74,78,,
Tiago Silva,74,77,,
E. Bauthéac,74,74,,
Y. Ravet,74,74,,
D. Tošić,74,74,,
D. Padelli,74,74,,
B. Mensah,74,81,,
J. Biabiany,74,74,,
I. Iličević,74,74,,
H. Barnes,74,84,,
C. Awaziem,74,81,,
Luna,74,75,,
A. Chedjou,74,74,,
Djavan,74,74,,
A. Rebrov,74,74,,
G. Margreitter,74,74,,
Salvi Sánchez,73,73,,
Pietrson Mendes,73,73,,
M. Russ,73,73,,
H. Van Crombrugge,73,77,,
A. Barrada,73,73,,
K. Nakamura,73,73,,
A. Clayton,73,73,,
T. Leibold,73,76,,
V. Karavaev,73,77,,
I. Fossum,73,78,Norway,75
D. Bessa,73,75,,
N. Acevedo,73,73,,
S. Rybalka,73,74,,
G. Di Lorenzo,73,78,,
H. Diallo,73,81,,
B. Fernández,73,76,,
J. Basanta,73,73,,
S. Thioub,73,78,,
C. Adams,73,80,,
Jota,73,73,,
E. Crivelli,73,77,,
Etxeita,73,73,,
D. Ciofani,73,73,,
M. Urruti,73,73,,
Gerso,73,73,,
J. Šural,73,73,,
B. Celina,73,82,,
S. Al Faraj,73,73,,
L. Majer,73,84,,
J. St. Juste,73,78,,
M. Bolaños,73,73,Club Tijuana,71
R. Krishna,73,73,,
E. Goldaniga,73,74,,
Suk Hyun Jun,73,74,,
Míchel,73,73,,
Álex Gallar,73,74,,
Insua,73,77,,
Ignasi Miquel,73,77,,
L. Bustamante,73,73,,
E. Schelotto,73,73,,
Paulinho,73,73,,
F. Hübner,73,75,,
Castro,73,73,,
R. Aliendro,73,74,,
M. Kanazaki,73,73,,
S. Sunzu,73,74,,
Y. Sanogo,73,76,,
T. Minamino,73,80,,
S. Dioudis,73,76,,
J. Al Hussien,73,73,,
Raul García,73,73,,
S. Bertoli,73,73,,
J. Gélin,73,83,,
J. Mišić,73,78,,
Fabiano,73,73,,
O. Mangala,73,84,,
J. Toljan,73,77,,
J. Gandolfi,73,73,,
J. Lewis,73,73,,
J. Bořil,73,73,Czech Republic,75
S. Clucas,73,73,,
A. Grünwald,73,73,,
J. Poulsen,73,73,,
C. Montes,73,81,,
R. Meggiorini,73,73,,
N. Bungert,73,73,,
C. Kouamé,73,87,,
F. Meza,73,76,,
A. Henríquez,73,76,,
Nélson Oliveira,73,73,,
E. Terranova,73,73,,
R. Emond,73,74,,
G. Hooper,73,73,,
L. Freeman,73,74,,
Miguel Vieira,73,74,,
A. Rispoli,73,73,,
N. Navarro,73,73,,
A. Barboza,73,78,,
A. Maxim,73,73,Romania,72
O. John,73,74,,
A. Smithies,73,75,,
P. Barrientos,73,73,,
F. Rinaudo,73,73,,
L. Mazzitelli,73,78,,
Eduardo,73,76,,
G. Pazzini,73,73,,
A. Bamba,73,73,,
A. Mina,73,74,Ecuador,72
I. Mbaye,73,80,,
M. Tekdemir,73,73,Turkey,76
L. Burián,73,73,,
Michel Cruceiro,73,73,,
Ricardo,73,73,,
Y. Gordillo,73,78,,
G. Peruzzi,73,76,,
Yu Hanchao,73,73,,
K. Westwood,73,73,,
Evandro Rochedo,73,73,,
Dani Pacheco,73,73,,
A. Ríos,73,73,,
D. Kadah,73,73,,
A. Diakhaby,73,78,,
Juan Carlos,73,73,,
I. Success,73,80,,
S. Al Dawsari,73,73,,
A. Özbiliz,73,73,,
G. Banguera,73,82,,
K. Johnsson,73,74,Sweden,76
U. Demirok,73,73,,
N. Asare,73,73,,
M. Pucciarelli,73,74,,
D. Fagundez,73,77,,
W. Troost-Ekong,73,77,,
Paulinho,73,73,,
J. Foyth,73,85,,
M. Linnes,73,73,Norway,75
Serginho,73,78,,
Hélder Lopes,73,73,,
E. Berg,73,73,,
R. Bengtsson,73,73,,
F. Forestieri,73,73,,
K. Wilczek,73,73,,
G. Cimirot,73,75,,
I. Bennacer,73,83,,
L. Marrone,73,73,,
R. Halliche,73,73,,
V. Vada,73,79,,
Y. Bissouma,73,83,,
R. Salinas,73,73,,
R. Doan,73,84,,
F. Pardo,73,73,,
J. Duque,73,77,,
D. Jensen,73,76,,
Omar Ramos,73,73,,
D. Randolph,73,73,Republic of Ireland,74
S. Sensi,73,78,,
A. Ricaurte,73,76,,
M. Aguirregaray,73,73,,
João Carvalho,73,82,,
A. Zeneli,73,77,,
D. Dainelli,73,73,,
K. Hansen,73,73,,
R. Bennett,73,73,,
Lee Chung Yong,73,73,,
V. Verre,73,78,,
Kwoun Sun Tae,73,73,,
Mauro Cildinho,73,73,,
Edinho,73,73,,
L. Pisculichi,73,73,,
Y. Benalouane,73,73,,
A. Ragusa,73,73,,
F. Lemoine,73,73,,
C. Roldan,73,79,United States,74
D. Ndong,73,78,,
V. Coufal,73,76,Czech Republic,75
M. Oršić,73,74,,
Édundo Oliveira,73,73,,
B. Bannan,73,73,,
R. Koch,73,79,,
N. Pasquini,73,73,,
A. Rosina,73,73,,
T. Parker,73,78,,
Marcos Guilherme,73,79,,
D. Luckassen,73,77,,
S. Hutchinson,72,72,,
Bruno Lamas,72,77,,
A. Bălută,72,75,,
De las Cuevas,72,72,,
Léo Bonatini,72,73,,
D. Kolář,72,72,,
T. Aoyama,72,72,,
S. Montoya,72,73,,
V. Aguilera,72,72,,
H. Yamaguchi,72,72,,
I. Mboyo,72,72,,
Bruno Tabata,72,81,,
B. Barišić,72,75,,
Wilson Manafá,72,77,,
C. Nørgaard,72,79,,
G. Friend,72,72,,
D. Khocholava,72,75,,
B. Srarfi,72,79,,
Romarinho,72,72,,
Mateus,72,72,,
W. Hoolahan,72,72,,
R. Azeez,72,77,,
M. Frey,72,78,,
J. Akpa Akpro,72,74,,
Isaac Cuenca,72,72,,
Fábio Pacheco,72,72,,
Lucas Piazon,72,75,,
Timo Triano,72,72,,
A. Scholz,72,76,,
Y. Chibsah,72,75,,
M. Duffy,72,72,,
G. McAuley,72,72,Northern Ireland,71
N. Al Abed,72,72,,
Alessinito,72,72,,
D. Verde,72,82,,
P. Lasogga,72,73,,
M. Pack,72,72,,
Z. Ferhat,72,75,,
C. Marshall,72,72,,
J. Bahebeck,72,75,,
R. Espinoza,72,72,,
N. González,72,83,,
Nuno Santos,72,77,,
K. Kusk,72,72,,
E. Lamanna,72,74,,
G. Sunu,72,72,,
E. Berggreen,72,75,,
G. Núñez,72,72,,
L. Aued,72,72,,
Hao Junmin,72,72,,
V. Găman,72,72,,
Pulido,72,73,,
A. Mobara,72,77,,
J. Ledley,72,72,,
A. Çalık,72,77,,
A. Cerri,72,80,,
Kim Jin Su,72,73,,
C. Gytkjær,72,72,,
Kangin Lee,72,88,,
Edigar Junio,72,72,,
J. Bostock,72,73,,
S. Pellissier,72,72,,
M. Antonsson,72,73,,
M. Kean,72,87,,
J. Collins,72,72,,
N. Mushekwi,72,72,,
L. Jiménez,72,72,,
D. N'Dinga,72,72,,
F. Kroos,72,75,,
M. Mahi,72,76,,
J. van Overeem,72,75,,
A. Esswein,72,72,,
J. Moreira,72,72,Paraguay,73
Jorge Carvallinho,72,72,,
J. Pereira,72,72,,
N. Galović,72,75,,
S. Mosquera,72,78,,
J. Nieto,72,74,,
C. Yacob,72,72,,
L. Ajorque,72,77,,
H. Barcos,72,72,,
S. Nakamura,72,72,,
M. Doumbia,72,78,,
G. Tutino,72,83,,
A. Allione,72,78,,
G. Lanaro,72,72,,
W. Zimmerman,72,76,United States,74
L. Rizzo,72,72,,
R. Gutiérrez,72,72,,
M. Gavranović,72,72,Switzerland,77
