home_team,away_team,home_score,home_penalty,away_score,away_penalty,Year,Round,Winner
Paraguay,New Zealand,0,NA,0,NA,2010,Group stage,Tie
Slovakia,Italy,3,NA,2,NA,2010,Group stage,Slovakia
Denmark,Japan,1,NA,3,NA,2010,Group stage,Japan
Cameroon,Netherlands,1,NA,2,NA,2010,Group stage,Netherlands
Slovenia,England,0,NA,1,NA,2010,Group stage,England
United States,Algeria,1,NA,0,NA,2010,Group stage,United States
Ghana,Germany,0,NA,1,NA,2010,Group stage,Germany
Australia,Serbia,2,NA,1,NA,2010,Group stage,Australia
Mexico,Uruguay,0,NA,1,NA,2010,Group stage,Uruguay
France,South Africa,1,NA,2,NA,2010,Group stage,South Africa
Nigeria,Korea Republic,2,NA,2,NA,2010,Group stage,Tie
Greece,Argentina,0,NA,2,NA,2010,Group stage,Argentina
Portugal,Korea DPR,7,NA,0,NA,2010,Group stage,Portugal
Chile,Switzerland,1,NA,0,NA,2010,Group stage,Chile
Spain,Honduras,2,NA,0,NA,2010,Group stage,Spain
Slovakia,Paraguay,0,NA,2,NA,2010,Group stage,Paraguay
Italy,New Zealand,1,NA,1,NA,2010,Group stage,Tie
Brazil,Côte d'Ivoire,3,NA,1,NA,2010,Group stage,Brazil
Netherlands,Japan,1,NA,0,NA,2010,Group stage,Netherlands
Ghana,Australia,1,NA,1,NA,2010,Group stage,Tie
Cameroon,Denmark,1,NA,2,NA,2010,Group stage,Denmark
Germany,Serbia,0,NA,1,NA,2010,Group stage,Serbia
Slovenia,United States,2,NA,2,NA,2010,Group stage,Tie
England,Algeria,0,NA,0,NA,2010,Group stage,Tie
Argentina,Korea Republic,4,NA,1,NA,2010,Group stage,Argentina
Greece,Nigeria,2,NA,1,NA,2010,Group stage,Greece
France,Mexico,0,NA,2,NA,2010,Group stage,Mexico
Honduras,Chile,0,NA,1,NA,2010,Group stage,Chile
Spain,Switzerland,0,NA,1,NA,2010,Group stage,Switzerland
South Africa,Uruguay,0,NA,3,NA,2010,Group stage,Uruguay
New Zealand,Slovakia,1,NA,1,NA,2010,Group stage,Tie
Côte d'Ivoire,Portugal,0,NA,0,NA,2010,Group stage,Tie
Brazil,Korea DPR,2,NA,1,NA,2010,Group stage,Brazil
Netherlands,Denmark,2,NA,0,NA,2010,Group stage,Netherlands
Japan,Cameroon,1,NA,0,NA,2010,Group stage,Japan
Italy,Paraguay,1,NA,1,NA,2010,Group stage,Tie
Algeria,Slovenia,0,NA,1,NA,2010,Group stage,Slovenia
Serbia,Ghana,0,NA,1,NA,2010,Group stage,Ghana
Germany,Australia,4,NA,0,NA,2010,Group stage,Germany
Korea Republic,Greece,2,NA,0,NA,2010,Group stage,Korea Republic
Argentina,Nigeria,1,NA,0,NA,2010,Group stage,Argentina
England,United States,1,NA,1,NA,2010,Group stage,Tie
South Africa,Mexico,1,NA,1,NA,2010,Group stage,Tie
Uruguay,France,0,NA,0,NA,2010,Group stage,Tie
Italy,France,1,5,1,3,2006,Final,Italy
Germany,Portugal,3,NA,1,NA,2006,Third-place match,Germany
Portugal,France,0,NA,1,NA,2006,Semi-finals,France
Germany,Italy,0,NA,2,NA,2006,Semi-finals,Italy
England,Portugal,0,1,0,3,2006,Quarter-finals,Tie
Brazil,France,0,NA,1,NA,2006,Quarter-finals,France
Germany,Argentina,1,4,1,2,2006,Quarter-finals,Tie
Italy,Ukraine,3,NA,0,NA,2006,Quarter-finals,Italy
Brazil,Ghana,3,NA,0,NA,2006,Round of 16,Brazil
Spain,France,1,NA,3,NA,2006,Round of 16,France
Italy,Australia,1,NA,0,NA,2006,Round of 16,Italy
Switzerland,Ukraine,0,0,0,3,2006,Round of 16,Tie
England,Ecuador,1,NA,0,NA,2006,Round of 16,England
Portugal,Netherlands,1,NA,0,NA,2006,Round of 16,Portugal
Germany,Sweden,2,NA,0,NA,2006,Round of 16,Germany
Argentina,Mexico,2,NA,1,NA,2006,Round of 16,Argentina
Saudi Arabia,Spain,0,NA,1,NA,2006,Group stage,Spain
Ukraine,Tunisia,1,NA,0,NA,2006,Group stage,Ukraine
Togo,France,0,NA,2,NA,2006,Group stage,France
Switzerland,Korea Republic,2,NA,0,NA,2006,Group stage,Switzerland
Ghana,United States,2,NA,1,NA,2006,Group stage,Ghana
Czech Republic,Italy,0,NA,2,NA,2006,Group stage,Italy
Japan,Brazil,1,NA,4,NA,2006,Group stage,Brazil
Croatia,Australia,2,NA,2,NA,2006,Group stage,Tie
Portugal,Mexico,2,NA,1,NA,2006,Group stage,Portugal
IR Iran,Angola,1,NA,1,NA,2006,Group stage,Tie
Côte d'Ivoire,Serbia and Montenegro,3,NA,2,NA,2006,Group stage,Côte d'Ivoire
Netherlands,Argentina,0,NA,0,NA,2006,Group stage,Tie
Costa Rica,Poland,1,NA,2,NA,2006,Group stage,Poland
Ecuador,Germany,0,NA,3,NA,2006,Group stage,Germany
Paraguay,Trinidad and Tobago,2,NA,0,NA,2006,Group stage,Paraguay
Sweden,England,2,NA,2,NA,2006,Group stage,Tie
Togo,Switzerland,0,NA,2,NA,2006,Group stage,Switzerland
Saudi Arabia,Ukraine,0,NA,4,NA,2006,Group stage,Ukraine
Spain,Tunisia,3,NA,1,NA,2006,Group stage,Spain
Japan,Croatia,0,NA,0,NA,2006,Group stage,Tie
Brazil,Australia,2,NA,0,NA,2006,Group stage,Brazil
France,Korea Republic,1,NA,1,NA,2006,Group stage,Tie
Portugal,IR Iran,2,NA,0,NA,2006,Group stage,Portugal
Czech Republic,Ghana,0,NA,2,NA,2006,Group stage,Ghana
Italy,United States,1,NA,1,NA,2006,Group stage,Tie
Argentina,Serbia and Montenegro,6,NA,0,NA,2006,Group stage,Argentina
Netherlands,Côte d'Ivoire,2,NA,1,NA,2006,Group stage,Netherlands
Mexico,Angola,0,NA,0,NA,2006,Group stage,Tie
Ecuador,Costa Rica,3,NA,0,NA,2006,Group stage,Ecuador
England,Trinidad and Tobago,2,NA,0,NA,2006,Group stage,England
Sweden,Paraguay,1,NA,0,NA,2006,Group stage,Sweden
Spain,Ukraine,4,NA,0,NA,2006,Group stage,Spain
Tunisia,Saudi Arabia,2,NA,2,NA,2006,Group stage,Tie
Germany,Poland,1,NA,0,NA,2006,Group stage,Germany
Korea Republic,Togo,2,NA,1,NA,2006,Group stage,Korea Republic
France,Switzerland,0,NA,0,NA,2006,Group stage,Tie
Brazil,Croatia,1,NA,0,NA,2006,Group stage,Brazil
Australia,Japan,3,NA,1,NA,2006,Group stage,Australia
United States,Czech Republic,0,NA,3,NA,2006,Group stage,Czech Republic
Italy,Ghana,2,NA,0,NA,2006,Group stage,Italy
Serbia and Montenegro,Netherlands,0,NA,1,NA,2006,Group stage,Netherlands
Mexico,IR Iran,3,NA,1,NA,2006,Group stage,Mexico
Angola,Portugal,0,NA,1,NA,2006,Group stage,Portugal
England,Paraguay,1,NA,0,NA,2006,Group stage,England
Trinidad and Tobago,Sweden,0,NA,0,NA,2006,Group stage,Tie
Argentina,Côte d'Ivoire,2,NA,1,NA,2006,Group stage,Argentina
Germany,Costa Rica,4,NA,2,NA,2006,Group stage,Germany
Poland,Ecuador,0,NA,2,NA,2006,Group stage,Ecuador
Germany,Brazil,0,NA,2,NA,2002,Final,Brazil
Korea Republic,Turkey,2,NA,3,NA,2002,Third-place match,Turkey
Brazil,Turkey,1,NA,0,NA,2002,Semi-finals,Brazil
Germany,Korea Republic,1,NA,0,NA,2002,Semi-finals,Germany
Spain,Korea Republic,0,3,0,5,2002,Quarter-finals,Tie
Senegal,Turkey,0,NA,1,NA,2002,Quarter-finals,Turkey
England,Brazil,1,NA,2,NA,2002,Quarter-finals,Brazil
Germany,United States,1,NA,0,NA,2002,Quarter-finals,Germany
Japan,Turkey,0,NA,1,NA,2002,Round of 16,Turkey
Korea Republic,Italy,2,NA,1,NA,2002,Round of 16,Korea Republic
Mexico,United States,0,NA,2,NA,2002,Round of 16,United States
Brazil,Belgium,2,NA,0,NA,2002,Round of 16,Brazil
Sweden,Senegal,1,NA,2,NA,2002,Round of 16,Senegal
Spain,Republic of Ireland,1,3,1,2,2002,Round of 16,Tie
Germany,Paraguay,1,NA,0,NA,2002,Round of 16,Germany
Denmark,England,0,NA,3,NA,2002,Round of 16,England
Tunisia,Japan,0,NA,2,NA,2002,Group stage,Japan
Belgium,Russia,3,NA,2,NA,2002,Group stage,Belgium
Portugal,Korea Republic,0,NA,1,NA,2002,Group stage,Korea Republic
Poland,United States,3,NA,1,NA,2002,Group stage,Poland
Costa Rica,Brazil,2,NA,5,NA,2002,Group stage,Brazil
Turkey,China PR,3,NA,0,NA,2002,Group stage,Turkey
Mexico,Italy,1,NA,1,NA,2002,Group stage,Tie
Ecuador,Croatia,1,NA,0,NA,2002,Group stage,Ecuador
Sweden,Argentina,1,NA,1,NA,2002,Group stage,Tie
Nigeria,England,0,NA,0,NA,2002,Group stage,Tie
South Africa,Spain,2,NA,3,NA,2002,Group stage,Spain
Slovenia,Paraguay,1,NA,3,NA,2002,Group stage,Paraguay
Denmark,France,2,NA,0,NA,2002,Group stage,Denmark
Senegal,Uruguay,3,NA,3,NA,2002,Group stage,Tie
Saudi Arabia,Republic of Ireland,0,NA,3,NA,2002,Group stage,Republic of Ireland
Cameroon,Germany,0,NA,2,NA,2002,Group stage,Germany
Korea Republic,United States,1,NA,1,NA,2002,Group stage,Tie
Tunisia,Belgium,1,NA,1,NA,2002,Group stage,Tie
Portugal,Poland,4,NA,0,NA,2002,Group stage,Portugal
Mexico,Ecuador,2,NA,1,NA,2002,Group stage,Mexico
Costa Rica,Turkey,1,NA,1,NA,2002,Group stage,Tie
Japan,Russia,1,NA,0,NA,2002,Group stage,Japan
South Africa,Slovenia,1,NA,0,NA,2002,Group stage,South Africa
Italy,Croatia,1,NA,2,NA,2002,Group stage,Croatia
Brazil,China PR,4,NA,0,NA,2002,Group stage,Brazil
Sweden,Nigeria,2,NA,1,NA,2002,Group stage,Sweden
Spain,Paraguay,3,NA,1,NA,2002,Group stage,Spain
Argentina,England,0,NA,1,NA,2002,Group stage,England
Denmark,Senegal,1,NA,1,NA,2002,Group stage,Tie
Cameroon,Saudi Arabia,1,NA,0,NA,2002,Group stage,Cameroon
France,Uruguay,0,NA,0,NA,2002,Group stage,Tie
Russia,Tunisia,2,NA,0,NA,2002,Group stage,Russia
United States,Portugal,3,NA,2,NA,2002,Group stage,United States
Germany,Republic of Ireland,1,NA,1,NA,2002,Group stage,Tie
China PR,Costa Rica,0,NA,2,NA,2002,Group stage,Costa Rica
Japan,Belgium,2,NA,2,NA,2002,Group stage,Tie
Korea Republic,Poland,2,NA,0,NA,2002,Group stage,Korea Republic
Croatia,Mexico,0,NA,1,NA,2002,Group stage,Mexico
Brazil,Turkey,2,NA,1,NA,2002,Group stage,Brazil
Italy,Ecuador,2,NA,0,NA,2002,Group stage,Italy
Argentina,Nigeria,1,NA,0,NA,2002,Group stage,Argentina
Paraguay,South Africa,2,NA,2,NA,2002,Group stage,Tie
England,Sweden,1,NA,1,NA,2002,Group stage,Tie
Spain,Slovenia,3,NA,1,NA,2002,Group stage,Spain
Republic of Ireland,Cameroon,1,NA,1,NA,2002,Group stage,Tie
Uruguay,Denmark,1,NA,2,NA,2002,Group stage,Denmark
Germany,Saudi Arabia,8,NA,0,NA,2002,Group stage,Germany
France,Senegal,0,NA,1,NA,2002,Group stage,Senegal
Brazil,France,0,NA,3,NA,1998,Final,France
Netherlands,Croatia,1,NA,2,NA,1998,Third-place match,Croatia
France,Croatia,2,NA,1,NA,1998,Semi-finals,France
Brazil,Netherlands,1,4,1,2,1998,Semi-finals,Tie
Netherlands,Argentina,2,NA,1,NA,1998,Quarter-finals,Netherlands
Germany,Croatia,0,NA,3,NA,1998,Quarter-finals,Croatia
Italy,France,0,3,0,4,1998,Quarter-finals,Tie
Brazil,Denmark,3,NA,2,NA,1998,Quarter-finals,Brazil
Romania,Croatia,0,NA,1,NA,1998,Round of 16,Croatia
Argentina,England,2,4,2,3,1998,Round of 16,Tie
Germany,Mexico,2,NA,1,NA,1998,Round of 16,Germany
Netherlands,FR Yugoslavia,2,NA,1,NA,1998,Round of 16,Netherlands
France,Paraguay,1,NA,0,NA,1998,Round of 16,France
Nigeria,Denmark,1,NA,4,NA,1998,Round of 16,Denmark
Italy,Norway,1,NA,0,NA,1998,Round of 16,Italy
Brazil,Chile,4,NA,1,NA,1998,Round of 16,Brazil
Argentina,Croatia,1,NA,0,NA,1998,Group stage,Argentina
Japan,Jamaica,1,NA,2,NA,1998,Group stage,Jamaica
Romania,Tunisia,1,NA,1,NA,1998,Group stage,Tie
Colombia,England,0,NA,2,NA,1998,Group stage,England
Netherlands,Mexico,2,NA,2,NA,1998,Group stage,Tie
Belgium,Korea Republic,1,NA,1,NA,1998,Group stage,Tie
United States,FR Yugoslavia,0,NA,1,NA,1998,Group stage,FR Yugoslavia
Germany,IR Iran,2,NA,0,NA,1998,Group stage,Germany
South Africa,Saudi Arabia,2,NA,2,NA,1998,Group stage,Tie
France,Denmark,2,NA,1,NA,1998,Group stage,France
Spain,Bulgaria,6,NA,1,NA,1998,Group stage,Spain
Nigeria,Paraguay,1,NA,3,NA,1998,Group stage,Paraguay
Italy,Austria,2,NA,1,NA,1998,Group stage,Italy
Chile,Cameroon,1,NA,1,NA,1998,Group stage,Tie
Brazil,Norway,1,NA,2,NA,1998,Group stage,Norway
Scotland,Morocco,0,NA,3,NA,1998,Group stage,Morocco
Colombia,Tunisia,1,NA,0,NA,1998,Group stage,Colombia
Romania,England,2,NA,1,NA,1998,Group stage,Romania
Germany,FR Yugoslavia,2,NA,2,NA,1998,Group stage,Tie
Argentina,Jamaica,5,NA,0,NA,1998,Group stage,Argentina
United States,IR Iran,1,NA,2,NA,1998,Group stage,IR Iran
Japan,Croatia,0,NA,1,NA,1998,Group stage,Croatia
Belgium,Mexico,2,NA,2,NA,1998,Group stage,Tie
Netherlands,Korea Republic,5,NA,0,NA,1998,Group stage,Netherlands
Nigeria,Bulgaria,1,NA,0,NA,1998,Group stage,Nigeria
Spain,Paraguay,0,NA,0,NA,1998,Group stage,Tie
South Africa,Denmark,1,NA,1,NA,1998,Group stage,Tie
France,Saudi Arabia,4,NA,0,NA,1998,Group stage,France
Chile,Austria,1,NA,1,NA,1998,Group stage,Tie
Italy,Cameroon,3,NA,0,NA,1998,Group stage,Italy
Scotland,Norway,1,NA,1,NA,1998,Group stage,Tie
Brazil,Morocco,3,NA,0,NA,1998,Group stage,Brazil
England,Tunisia,2,NA,0,NA,1998,Group stage,England
Romania,Colombia,1,NA,0,NA,1998,Group stage,Romania
Germany,United States,2,NA,0,NA,1998,Group stage,Germany
Argentina,Japan,1,NA,0,NA,1998,Group stage,Argentina
FR Yugoslavia,IR Iran,1,NA,0,NA,1998,Group stage,FR Yugoslavia
Jamaica,Croatia,1,NA,3,NA,1998,Group stage,Croatia
Spain,Nigeria,2,NA,3,NA,1998,Group stage,Nigeria
Korea Republic,Mexico,1,NA,3,NA,1998,Group stage,Mexico
Netherlands,Belgium,0,NA,0,NA,1998,Group stage,Tie
Paraguay,Bulgaria,0,NA,0,NA,1998,Group stage,Tie
Saudi Arabia,Denmark,0,NA,1,NA,1998,Group stage,Denmark
France,South Africa,3,NA,0,NA,1998,Group stage,France
Italy,Chile,2,NA,2,NA,1998,Group stage,Tie
Cameroon,Austria,1,NA,1,NA,1998,Group stage,Tie
Brazil,Scotland,2,NA,1,NA,1998,Group stage,Brazil
Morocco,Norway,2,NA,2,NA,1998,Group stage,Tie
Brazil,Italy,0,3,0,2,1994,Final,Brazil
Sweden,Bulgaria,4,NA,0,NA,1994,Third-place match,Sweden
Bulgaria,Italy,1,NA,2,NA,1994,Semi-finals,Italy
Sweden,Brazil,0,NA,1,NA,1994,Semi-finals,Brazil
Bulgaria,Germany,2,NA,1,NA,1994,Quarter-finals,Bulgaria
Romania,Sweden,2,4,2,5,1994,Quarter-finals,Tie
Italy,Spain,2,NA,1,NA,1994,Quarter-finals,Italy
Netherlands,Brazil,2,NA,3,NA,1994,Quarter-finals,Brazil
Nigeria,Italy,1,NA,2,NA,1994,Round of 16,Italy
Mexico,Bulgaria,1,1,1,3,1994,Round of 16,Tie
Netherlands,Republic of Ireland,2,NA,0,NA,1994,Round of 16,Netherlands
Brazil,United States,1,NA,0,NA,1994,Round of 16,Brazil
Saudi Arabia,Sweden,1,NA,3,NA,1994,Round of 16,Sweden
Romania,Argentina,3,NA,2,NA,1994,Round of 16,Romania
Germany,Belgium,3,NA,2,NA,1994,Round of 16,Germany
Spain,Switzerland,3,NA,0,NA,1994,Round of 16,Spain
Greece,Nigeria,0,NA,2,NA,1994,Group stage,Nigeria
Argentina,Bulgaria,0,NA,2,NA,1994,Group stage,Bulgaria
Morocco,Netherlands,1,NA,2,NA,1994,Group stage,Netherlands
Belgium,Saudi Arabia,0,NA,1,NA,1994,Group stage,Saudi Arabia
Italy,Mexico,1,NA,1,NA,1994,Group stage,Tie
Republic of Ireland,Norway,0,NA,0,NA,1994,Group stage,Tie
Russia,Cameroon,6,NA,1,NA,1994,Group stage,Russia
Brazil,Sweden,1,NA,1,NA,1994,Group stage,Tie
Germany,Korea Republic,3,NA,2,NA,1994,Group stage,Germany
Bolivia,Spain,1,NA,3,NA,1994,Group stage,Spain
Bulgaria,Greece,4,NA,0,NA,1994,Group stage,Bulgaria
United States,Romania,0,NA,1,NA,1994,Group stage,Romania
Switzerland,Colombia,0,NA,2,NA,1994,Group stage,Colombia
Belgium,Netherlands,1,NA,0,NA,1994,Group stage,Belgium
Saudi Arabia,Morocco,2,NA,1,NA,1994,Group stage,Saudi Arabia
Argentina,Nigeria,2,NA,1,NA,1994,Group stage,Argentina
Mexico,Republic of Ireland,2,NA,1,NA,1994,Group stage,Mexico
Brazil,Cameroon,3,NA,0,NA,1994,Group stage,Brazil
Sweden,Russia,3,NA,1,NA,1994,Group stage,Sweden
Italy,Norway,1,NA,0,NA,1994,Group stage,Italy
